depth_m,qc_MPa,fs_kPa,u2_kPa,u_kPa
1.47,17.2021,109.0751,-8.2737,-8.2737
1.485,17.2986,108.8606,-8.2737,-8.2737
1.48,17.3952,108.5388,-8.2737,-8.2737
1.495,17.5185,108.3243,-8.2737,-8.2737
1.49,17.5721,107.8953,-8.2737,-8.2737
1.505,17.6697,107.5735,-8.2737,-8.2737
1.5,17.7073,107.2518,-8.2737,-8.2737
1.515,17.6751,107.0373,-7.5842,-7.5842
1.51,17.6354,106.93,-7.5842,-7.5842
1.525,17.5217,107.2518,-7.5842,-7.5842
1.52,17.4037,107.5735,-7.5842,-7.5842
1.535,17.3426,107.788,-7.5842,-7.5842
1.53,17.1946,108.217,-7.5842,-7.5842
1.545,17.0852,108.8606,-7.5842,-7.5842
1.54,17.0477,108.9678,-7.5842,-7.5842
1.555,17.0369,109.0751,-7.5842,-7.5842
1.55,17.0209,108.6461,-7.5842,-7.5842
1.565,17.0327,107.8953,-7.5842,-7.5842
1.56,17.0702,107.359,-7.5842,-7.5842
1.575,17.0927,107.2518,-7.5842,-7.5842
1.57,17.1367,106.6083,-7.5842,-7.5842
1.585,17.1592,105.7503,-7.5842,-7.5842
1.58,17.1603,105.214,-7.5842,-7.5842
1.595,17.1603,104.785,-8.2737,-8.2737
1.59,17.1388,104.5705,-8.2737,-8.2737
1.605,17.0756,104.1415,-8.2737,-8.2737
1.6,16.9769,103.2835,-8.2737,-8.2737
1.615,16.9147,102.7472,-8.2737,-8.2737
1.61,16.7645,101.8892,-8.2737,-8.2737
1.625,16.624,101.3529,-8.2737,-8.2737
1.62,16.4878,100.4949,-8.2737,-8.2737
1.635,16.4138,99.7442,-8.2737,-8.2737
1.63,16.2948,99.6369,-8.2737,-8.2737
1.645,16.1961,99.5297,-8.2737,-8.2737
1.64,16.1307,99.5297,-8.2737,-8.2737
1.655,16.1124,100.8167,-8.2737,-8.2737
1.65,16.1124,101.3529,-8.2737,-8.2737
1.665,16.1478,101.4602,-8.2737,-8.2737
1.66,16.1972,101.0312,-8.2737,-8.2737
1.675,16.2347,100.8167,-8.2737,-8.2737
1.67,16.3527,100.6022,-8.2737,-8.2737
1.685,16.4985,100.1732,-8.2737,-8.2737
1.68,16.6208,99.6369,-8.2737,-8.2737
1.695,16.6669,99.2079,-8.2737,-8.2737
1.69,16.7045,99.1006,-8.2737,-8.2737
1.705,16.7238,98.7789,-8.2737,-8.2737
1.7,16.6959,98.0281,-8.2737,-8.2737
1.715,16.6455,97.3846,-8.2737,-8.2737
1.71,16.4932,96.7411,-8.2737,-8.2737
1.725,16.328,96.6339,-8.2737,-8.2737
1.72,16.136,95.8831,-8.2737,-8.2737
1.735,15.9065,94.9178,-8.2737,-8.2737
1.73,15.8014,94.3816,-8.2737,-8.2737
1.745,15.5622,93.0945,-8.2737,-8.2737
1.74,15.3166,91.593,-8.2737,-8.2737
1.755,15.1182,90.735,-8.2737,-8.2737
1.75,15.0367,90.1987,-8.2737,-8.2737
1.765,14.893,89.1262,-8.2737,-8.2737
1.76,14.7707,88.161,-8.2737,-8.2737
1.775,14.6978,87.6247,-8.2737,-8.2737
1.77,14.6838,87.6247,-8.2737,-8.2737
1.785,14.6688,87.8392,-8.9632,-8.9632
1.78,14.6817,88.4827,-8.9632,-8.9632
1.795,14.746,89.1262,-8.9632,-8.9632
1.79,14.7879,89.448,-8.9632,-8.9632
1.805,14.9069,90.0915,-8.9632,-8.9632
1.8,15.0453,90.9495,-8.9632,-8.9632
1.815,15.2008,92.022,-8.9632,-8.9632
1.81,15.367,92.451,-9.6527,-9.6527
1.825,15.4346,93.309,-9.6527,-9.6527
1.82,15.588,93.9526,-9.6527,-9.6527
1.835,15.736,94.7033,-9.6527,-9.6527
1.83,15.8003,95.6686,-9.6527,-9.6527
1.845,15.8969,96.3121,-9.6527,-9.6527
1.84,15.9666,97.7064,-9.6527,-9.6527
1.855,16.0063,98.9934,-9.6527,-9.6527
1.85,16.0095,99.9587,-9.6527,-9.6527
1.865,15.9902,100.2804,-9.6527,-9.6527
1.86,15.9323,100.7094,-9.6527,-9.6527
1.875,15.8261,101.1384,-9.6527,-9.6527
1.87,15.7596,101.2457,-9.6527,-9.6527
1.885,15.6062,101.3529,-9.6527,-9.6527
1.88,15.4657,101.2457,-9.6527,-9.6527
1.895,15.3156,101.0312,-9.6527,-9.6527
1.89,15.2405,100.7094,-9.6527,-9.6527
1.905,15.0893,100.3877,-9.6527,-9.6527
1.9,14.9509,99.7442,-9.6527,-9.6527
1.915,14.8447,98.9934,-9.6527,-9.6527
1.91,14.7975,97.9209,-9.6527,-9.6527
1.925,14.7085,107.8953,-10.3421,-10.3421
1.92,14.6098,94.3816,-10.3421,-10.3421
1.935,14.4962,88.161,-10.3421,-10.3421
1.93,14.346,83.2274,-10.3421,-10.3421
1.945,14.2559,80.1171,-10.3421,-10.3421
1.94,14.0693,78.8301,-10.3421,-10.3421
1.955,13.8612,76.5778,-10.3421,-10.3421
1.95,13.666,74.6472,-10.3421,-10.3421
1.965,13.5813,73.0385,-10.3421,-10.3421
1.96,13.4408,71.5369,-10.3421,-10.3421
1.975,13.326,70.8934,-10.3421,-10.3421
1.97,13.2445,69.9282,-10.3421,-10.3421
1.985,13.2177,69.1774,-10.3421,-10.3421
1.98,13.1812,68.6411,-10.3421,-10.3421
1.995,13.1727,68.4266,-10.3421,-10.3421
1.99,13.1866,68.4266,-10.3421,-10.3421
2.005,13.2005,68.5339,-10.3421,-10.3421
2,13.2467,68.6411,-10.3421,-10.3421
2.015,13.3293,68.5339,-10.3421,-10.3421
2.01,13.4494,68.4266,-10.3421,-10.3421
2.025,11.8073,68.4266,-13.1,-13.1
2.02,13.0375,68.7484,-13.7895,-13.7895
2.035,13.4215,69.0701,-13.7895,-13.7895
2.03,13.7089,69.2846,-13.7895,-13.7895
2.045,13.9159,69.2846,-13.7895,-13.7895
2.04,13.9974,69.4992,-13.7895,-13.7895
2.055,14.1293,69.6064,-13.7895,-13.7895
2.05,14.2012,69.9282,-13.7895,-13.7895
2.065,14.1755,70.0354,-13.7895,-13.7895
2.06,14.109,70.2499,-13.7895,-13.7895
2.075,14.0586,70.2499,-13.7895,-13.7895
2.07,13.9545,70.4644,-13.7895,-13.7895
2.085,13.8419,70.6789,-13.7895,-13.7895
2.08,13.7325,70.7862,-13.7895,-13.7895
2.095,13.6049,70.5717,-13.7895,-13.7895
2.09,13.5438,70.1427,-13.7895,-13.7895
2.105,13.4183,69.4992,-13.7895,-13.7895
2.1,13.2992,69.2846,-13.7895,-13.7895
2.115,13.1737,69.0701,-13.7895,-13.7895
2.11,13.0547,68.7484,-13.7895,-13.7895
2.125,13.0043,68.1049,-13.7895,-13.7895
2.12,12.8906,67.5686,-13.7895,-13.7895
2.135,12.779,66.4961,-13.7895,-13.7895
2.13,12.6965,65.6381,-13.7895,-13.7895
2.145,12.6557,64.6728,-13.7895,-13.7895
2.14,12.5742,64.2438,-13.7895,-13.7895
2.155,12.5045,63.6003,-13.7895,-13.7895
2.15,12.4348,63.1713,-13.7895,-13.7895
2.165,12.3994,62.635,-13.7895,-13.7895
2.16,12.3286,62.5278,-13.7895,-13.7895
2.175,12.2374,62.206,-13.7895,-13.7895
2.17,12.1624,61.777,-13.7895,-13.7895
2.185,12.1355,61.348,-13.7895,-13.7895
2.18,12.0916,61.2408,-13.7895,-13.7895
2.195,12.0433,60.5973,-13.7895,-13.7895
2.19,11.995,60.2755,-13.7895,-13.7895
2.205,11.9661,60.061,-13.7895,-13.7895
2.2,11.9586,59.9537,-13.7895,-13.7895
2.215,11.9854,60.061,-13.7895,-13.7895
2.21,12.0186,60.1682,-13.7895,-13.7895
2.225,12.0755,60.1682,-13.7895,-13.7895
2.22,12.1141,60.061,-13.7895,-13.7895
2.235,12.1935,59.8465,-13.7895,-13.7895
2.23,12.2482,59.9537,-13.7895,-13.7895
2.245,12.2793,59.632,-13.7895,-13.7895
2.24,12.2793,59.203,-13.7895,-13.7895
2.255,12.246,59.0957,-13.7895,-13.7895
2.25,12.1624,58.774,-13.7895,-13.7895
2.265,12.0401,58.345,-14.479,-14.479
2.26,11.9747,57.916,-14.479,-14.479
2.275,11.8685,57.1652,-14.479,-14.479
2.27,11.772,56.9507,-14.479,-14.479
2.285,11.6819,56.4144,-14.479,-14.479
2.28,11.6336,56.0927,-14.479,-14.479
2.295,11.5564,55.8782,-14.479,-14.479
2.29,11.4899,55.6637,-14.479,-14.479
2.305,11.4448,55.4492,-14.479,-14.479
2.3,11.4352,55.6637,-14.479,-14.479
2.315,11.4405,55.9854,-14.479,-14.479
2.31,11.4481,56.1999,-14.479,-14.479
2.325,11.4877,56.5217,-14.479,-14.479
2.32,11.5585,56.9507,-14.479,-14.479
2.335,11.6036,57.3797,-14.479,-14.479
2.33,11.728,57.5942,-14.479,-14.479
2.345,11.8663,57.916,-14.479,-14.479
2.34,12.0294,58.2377,-14.479,-14.479
2.355,12.2235,58.5595,-14.479,-14.479
2.35,12.3254,59.0957,-14.479,-14.479
2.365,12.542,59.4175,-14.479,-14.479
2.36,12.7544,59.7392,-14.479,-14.479
2.375,12.9464,59.9537,-14.479,-14.479
2.37,13.0289,60.49,-14.479,-14.479
2.385,13.1555,60.919,-14.479,-14.479
2.38,13.2317,61.4553,-14.479,-14.479
2.395,13.2681,62.206,-14.479,-14.479
2.39,13.2756,62.635,-14.479,-14.479
2.405,13.2574,63.2786,-14.479,-14.479
2.4,13.2102,64.3511,-14.479,-14.479
2.415,13.1609,65.2091,-14.479,-14.479
2.41,13.1373,65.6381,-14.479,-14.479
2.425,13.1008,66.3889,-14.479,-14.479
2.42,13.0869,67.2469,-14.479,-14.479
2.435,13.0858,68.1049,-14.479,-14.479
2.43,13.0869,68.4266,-14.479,-14.479
2.445,13.0869,68.9629,-14.479,-14.479
2.44,13.059,69.3919,-14.479,-14.479
2.455,13.0397,70.0354,-14.479,-14.479
2.45,13.0011,70.0354,-14.479,-14.479
2.465,12.9657,70.2499,-14.479,-14.479
2.46,12.9249,70.4644,-14.479,-14.479
2.475,12.8949,70.5717,-14.479,-14.479
2.47,12.8295,70.6789,-14.479,-14.479
2.485,12.7597,70.6789,-14.479,-14.479
2.48,12.6772,70.5717,-14.479,-14.479
2.495,12.5806,70.1427,-14.479,-14.479
2.49,12.5313,69.8209,-14.479,-14.479
2.505,12.4283,69.0701,-14.479,-14.479
2.5,12.3254,68.5339,-14.479,-14.479
2.515,12.2224,67.9976,-14.479,-14.479
2.51,12.1795,67.8904,-14.479,-14.479
2.525,12.0766,67.5686,-14.479,-14.479
2.52,11.9736,67.4614,-14.479,-14.479
2.535,11.8631,67.1396,-14.479,-14.479
2.53,11.802,66.6034,-14.479,-14.479
2.545,11.6819,66.0671,-14.479,-14.479
2.54,11.5789,65.7453,-14.479,-14.479
2.555,11.4877,65.7453,-14.479,-14.479
2.55,11.4427,65.5308,-14.479,-14.479
2.565,11.3762,65.4236,-14.479,-14.479
2.56,11.344,65.4236,-14.479,-14.479
2.575,11.3483,65.1018,-14.479,-14.479
2.57,11.3633,64.8873,-14.479,-14.479
2.585,11.4116,64.7801,-14.479,-14.479
2.58,11.4834,64.6728,-14.479,-14.479
2.595,11.5714,64.4583,-14.479,-14.479
2.59,11.6164,64.2438,-14.479,-14.479
2.605,11.6797,64.2438,-14.479,-14.479
2.6,11.6958,64.1366,-14.479,-14.479
2.615,11.6797,64.0293,-14.479,-14.479
2.61,11.6615,63.8148,-14.479,-14.479
2.625,11.581,63.8148,-14.479,-14.479
2.62,11.5349,63.7076,-14.479,-14.479
2.635,11.4384,63.6003,-14.479,-14.479
2.63,11.3472,63.3858,-14.479,-14.479
2.645,11.27,63.064,-14.479,-14.479
2.64,11.2368,62.7423,-14.479,-14.479
2.655,11.1638,62.635,-14.479,-14.479
2.65,11.1113,62.0988,-14.479,-14.479
2.665,11.0695,61.6698,-14.479,-14.479
2.66,11.0426,61.1335,-14.479,-14.479
2.675,10.9826,60.8118,-14.479,-14.479
2.67,10.9086,60.3828,-15.1685,-15.1685
2.685,10.8228,60.061,-14.479,-14.479
2.68,10.7809,59.7392,-14.479,-14.479
2.695,10.6962,59.203,-15.1685,-15.1685
2.69,10.6072,58.9885,-15.1685,-15.1685
2.705,10.5171,58.5595,-15.1685,-15.1685
2.7,10.4217,58.0232,-15.1685,-15.1685
2.715,10.3702,57.5942,-15.1685,-15.1685
2.71,10.2715,57.487,-15.1685,-15.1685
2.725,10.1771,57.0579,-15.1685,-15.1685
2.72,10.1031,56.5217,-15.1685,-15.1685
2.735,10.0699,55.9854,-15.1685,-15.1685
2.73,10.0109,55.7709,-15.1685,-15.1685
